RefID,PubID
2,45
2,68
2,79
3,46
8,78
9,47
10,68
11,42
12,24
13,70
14,70
15,19
15,20
30,19
34,37
34,64
35,30
35,38
36,4
37,56
37,61
38,25
38,79
39,59
40,83
41,51
41,52
42,7
43,2
44,80
46,76
47,30
47,41
48,26
49,82
50,67
51,77
53,44
53,46
53,78
54,42
55,69
56,31
56,34
56,63
59,24
60,2
60,5
61,30
61,39
61,40
62,30
62,40
64,30
64,40
66,71
67,84
69,73
70,30
70,35
71,27
72,43
73,53
74,9
75,81
76,74
77,79
79,17
80,13
81,8
83,58
84,33
85,18
87,49
88,19
89,6
91,15
93,31
93,34
93,63
93,69
94,31
94,34
94,63
94,69
95,30
95,37
95,38
95,64
97,14
97,16
99,11
100,2
100,21
101,23
103,12
103,56
104,1
108,18
