RefID,PubID
4,134
6,88
8,142
10,111
12,49
15,144
17,211
19,23
20,64
21,1
22,29
24,40
24,45
27,155
29,36
37,178
38,155
39,2
41,14
43,154
44,207
45,201
47,187
48,66
49,11
50,78
52,130
54,185
55,30
56,148
57,71
58,199
59,200
60,215
61,231
63,131
64,67
64,204
65,120
66,163
68,175
68,217
69,234
70,228
71,225
72,105
73,170
74,212
75,207
76,28
77,86
78,113
79,206
80,160
81,41
82,90
84,98
84,99
85,60
86,145
87,41
88,197
89,34
90,110
91,166
92,6
93,37
94,218
95,55
96,126
97,179
98,198
99,57
100,82
101,106
102,208
103,157
104,95
106,84
107,70
108,164
109,224
110,104
111,85
112,232
113,133
114,219
116,26
117,235
118,143
119,230
120,7
121,220
122,132
123,165
124,149
125,227
126,205
127,50
128,182
129,214
132,112
133,22
134,25
135,83
136,43
137,114
139,51
140,124
142,192
144,193
145,116
146,186
147,4
148,213
149,229
150,223
151,80
152,236
153,140
154,168
155,153
156,63
156,66
157,159
158,76
159,81
160,136
161,54
162,167
163,101
164,72
165,19
166,183
167,87
168,122
169,42
171,15
172,5
173,156
174,32
175,33
176,40
177,123
179,46
180,100
183,18
184,97
184,141
185,8
187,193
188,233
189,35
190,190
190,237
191,128
192,203
193,180
194,74
194,216
195,31
196,79
197,17
197,20
198,16
199,59
201,9
201,10
202,93
203,177
204,210
205,115
205,209
206,139
206,161
207,12
207,189
208,221
209,24
209,53
209,108
209,118
210,38
210,47
210,138
211,202
212,92
212,107
212,109
212,162
